isodate,cdoc,dir_location
1878-05-23,633474674374037367,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674374037367/
1944-05-27,633474761106929899,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474761106929899/
1943-09-21,633474754909990500,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474754909990500/
1941-01-20,633474708858830496,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474708858830496/
1946-05-31,633474774782955599,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474774782955599/
1943-09-02,633474754578303993,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474754578303993/
1942-07-23,633474733123324201,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474733123324201/
1941-11-03,633474716260899646,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474716260899646/
1942-03-09,633474729175944526,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474729175944526/
1941-09-30,633474714850089730,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474714850089730/
1942-08-18,633474734924576047,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474734924576047/
1878-03-08,633474673406166903,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673406166903/
1878-04-16,633474673972333317,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673972333317/
1943-01-15,633474746294991513,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474746294991513/
1940-09-26,633474675174609909,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474675174609909/
1941-04-22,633474712245470098,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474712245470098/
1943-11-18,633474755862790010,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474755862790010/
1945-01-12,633474767025202731,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474767025202731/
1943-08-19,633474754322092930,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474754322092930/
1941-10-15,633474715486657618,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474715486657618/
1945-05-04,633474767800385442,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474767800385442/
1941-05-21,633474713567801306,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474713567801306/
1943-04-06,633474751083837922,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474751083837922/
1943-04-15,633474751651767760,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474751651767760/
1945-05-25,633474767978781946,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474767978781946/
1942-04-21,633474730216570351,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474730216570351/
1944-01-20,633474759158291163,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474759158291163/
1940-09-23,633474674910903015,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674910903015/
1941-10-14,633474715441699622,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474715441699622/
1941-02-24,633474710397802094,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474710397802094/
1942-08-19,633474735003048343,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474735003048343/
1945-04-20,633474767708068370,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474767708068370/
1941-05-29,633474714001643674,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474714001643674/
1943-03-15,633474749700970870,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474749700970870/
1942-05-04,633474730730031376,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474730730031376/
1943-12-02,633474756123211480,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474756123211480/
1940-11-11,633474677159799729,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677159799729/
1941-12-13,633474717966147802,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474717966147802/
1942-11-18,633474740699174601,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474740699174601/
1940-11-13,633474677260743509,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677260743509/
1943-01-16,633474746371711054,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474746371711054/
1943-02-12,633474747803368651,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474747803368651/
1945-11-09,633474770155250483,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474770155250483/
1942-11-13,633474740430231576,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474740430231576/
1944-08-04,633474761562277619,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474761562277619/
1940-12-06,633474678236324389,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474678236324389/
1944-01-15,633474759076266197,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474759076266197/
1878-05-06,633474674142151735,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674142151735/
1942-04-07,633474729724380676,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474729724380676/
1940-11-15,633474677356671449,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474677356671449/
1941-10-04,633474715034277506,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474715034277506/
1946-05-14,633474774177592637,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474774177592637/
1942-07-31,633474733790009443,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474733790009443/
1943-05-03,633474752843616309,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474752843616309/
1943-04-26,633474752346320460,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474752346320460/
1878-03-13,633474673465241028,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673465241028/
1943-08-17,633474754275154689,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474754275154689/
1943-02-18,633474748195394269,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474748195394269/
1941-10-21,633474715744893858,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474715744893858/
1944-09-15,633474761781842547,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474761781842547/
1942-02-04,633474727851998776,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474727851998776/
1941-05-22,633474713615231994,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474713615231994/
1940-11-05,633474676922174309,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474676922174309/
1943-04-10,633474751357043050,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474751357043050/
1941-12-05,633474717605213098,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474717605213098/
1943-07-10,633474753598838572,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474753598838572/
1942-11-06,633474739874892039,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474739874892039/
1944-04-01,633474760263600971,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474760263600971/
1943-04-21,633474752046137491,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474752046137491/
1946-06-14,633474775078775676,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474775078775676/
1878-02-14,633474673100556763,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673100556763/
1943-08-10,633474754125919152,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474754125919152/
1945-09-28,633474769532266188,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474769532266188/
1942-04-01,633474729557621176,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474729557621176/
1944-04-18,633474760493769887,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474760493769887/
1942-07-21,633474732968022901,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474732968022901/
1941-01-16,633474708687094816,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474708687094816/
1941-10-07,633474715133682902,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474715133682902/
1944-11-24,633474762161402941,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474762161402941/
1942-12-01,633474741619037701,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474741619037701/
1878-05-13,633474674232574529,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474674232574529/
1942-02-03,633474727805399626,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474727805399626/
1941-05-12,633474713143421466,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474713143421466/
1942-05-01,633474730635073051,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474730635073051/
1878-04-09,633474673886163860,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673886163860/
1943-02-17,633474748119608887,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474748119608887/
1942-10-08,633474737489234861,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474737489234861/
1878-04-03,633474673755570661,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474673755570661/
1942-08-13,633474734617070522,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474734617070522/
1942-08-26,633474735488673524,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474735488673524/
1942-11-03,633474739597783627,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474739597783627/
1940-10-14,633474675938756179,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474675938756179/
1944-09-22,633474761828624847,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474761828624847/
1942-02-24,633474728654937976,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474728654937976/
1942-09-17,633474736873771828,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474736873771828/
1941-10-02,633474714929894062,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474714929894062/
1941-11-01,633474716211741422,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474716211741422/
1941-04-17,633474712017904032,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474712017904032/
1942-08-21,633474735185994668,May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474735185994668/
